postcode;city;state;lat;lon
00-001;Warszawa;mazowieckie;52,241625;21,009398
00-001;Warszawa;mazowieckie;52,241625;21,009398
00-002;Warszawa;mazowieckie;52,241625;21,009398
00-003;Warszawa;mazowieckie;52,241625;21,009398
00-004;Warszawa;mazowieckie;52,241625;21,009398
00-005;Warszawa;mazowieckie;52,241625;21,009398
00-006;Warszawa;mazowieckie;52,241625;21,009398
00-007;Warszawa;mazowieckie;52,241625;21,009398
00-008;Warszawa;mazowieckie;52,241625;21,009398
00-009;Warszawa;mazowieckie;52,241625;21,009398
00-009;Warszawa;mazowieckie;52,241625;21,009398
00-010;Warszawa;mazowieckie;52,241625;21,009398
00-011;Warszawa;mazowieckie;52,241625;21,009398
00-012;Warszawa;mazowieckie;52,241625;21,009398
00-013;Warszawa;mazowieckie;52,241625;21,009398
00-014;Warszawa;mazowieckie;52,241625;21,009398
00-015;Warszawa;mazowieckie;52,241625;21,009398
00-016;Warszawa;mazowieckie;52,241625;21,009398
00-017;Warszawa;mazowieckie;52,241625;21,009398
00-018;Warszawa;mazowieckie;52,241625;21,009398
00-019;Warszawa;mazowieckie;52,241625;21,009398
00-020;Warszawa;mazowieckie;52,241625;21,009398
00-020;Warszawa;mazowieckie;52,241625;21,009398
00-021;Warszawa;mazowieckie;52,241625;21,009398
00-022;Warszawa;mazowieckie;52,241625;21,009398
00-023;Warszawa;mazowieckie;52,241625;21,009398
00-024;Warszawa;mazowieckie;52,241625;21,009398
00-025;Warszawa;mazowieckie;52,241625;21,009398
00-026;Warszawa;mazowieckie;52,241625;21,009398
00-026;Warszawa;mazowieckie;52,241625;21,009398
00-027;Warszawa;mazowieckie;52,241625;21,009398
00-028;Warszawa;mazowieckie;52,241625;21,009398
00-029;Warszawa;mazowieckie;52,241625;21,009398
00-030;Warszawa;mazowieckie;52,241625;21,009398
00-031;Warszawa;mazowieckie;52,241625;21,009398
00-032;Warszawa;mazowieckie;52,241625;21,009398
00-033;Warszawa;mazowieckie;52,241625;21,009398
00-034;Warszawa;mazowieckie;52,241625;21,009398
00-035;Warszawa;mazowieckie;52,241625;21,009398
00-036;Warszawa;mazowieckie;52,241625;21,009398
00-037;Warszawa;mazowieckie;52,241625;21,009398
00-038;Warszawa;mazowieckie;52,241625;21,009398
00-039;Warszawa;mazowieckie;52,241625;21,009398
00-040;Warszawa;mazowieckie;52,241625;21,009398
00-041;Warszawa;mazowieckie;52,241625;21,009398
00-042;Warszawa;mazowieckie;52,241625;21,009398
00-043;Warszawa;mazowieckie;52,241625;21,009398
00-044;Warszawa;mazowieckie;52,241625;21,009398
00-046;Warszawa;mazowieckie;52,241625;21,009398
00-047;Warszawa;mazowieckie;52,241625;21,009398
00-048;Warszawa;mazowieckie;52,241625;21,009398
00-049;Warszawa;mazowieckie;52,241625;21,009398
00-050;Warszawa;mazowieckie;52,241625;21,009398
00-051;Warszawa;mazowieckie;52,241625;21,009398
00-052;Warszawa;mazowieckie;52,241625;21,009398
00-052;Warszawa;mazowieckie;52,241625;21,009398
00-054;Warszawa;mazowieckie;52,241625;21,009398
00-055;Warszawa;mazowieckie;52,241625;21,009398
00-056;Warszawa;mazowieckie;52,241625;21,009398
00-057;Warszawa;mazowieckie;52,241625;21,009398
00-058;Warszawa;mazowieckie;52,241625;21,009398
00-059;Warszawa;mazowieckie;52,241625;21,009398
00-060;Warszawa;mazowieckie;52,241625;21,009398
00-061;Warszawa;mazowieckie;52,241625;21,009398
00-062;Warszawa;mazowieckie;52,241625;21,009398
00-062;Warszawa;mazowieckie;52,241625;21,009398
00-063;Warszawa;mazowieckie;52,241625;21,009398
00-064;Warszawa;mazowieckie;52,241625;21,009398
00-065;Warszawa;mazowieckie;52,241625;21,009398
00-066;Warszawa;mazowieckie;52,241625;21,009398
00-067;Warszawa;mazowieckie;52,241625;21,009398
00-067;Warszawa;mazowieckie;52,241625;21,009398
00-068;Warszawa;mazowieckie;52,241625;21,009398
00-068;Warszawa;mazowieckie;52,241625;21,009398
00-070;Warszawa;mazowieckie;52,241625;21,009398
00-071;Warszawa;mazowieckie;52,241625;21,009398
00-072;Warszawa;mazowieckie;52,241625;21,009398
00-073;Warszawa;mazowieckie;52,241625;21,009398
00-074;Warszawa;mazowieckie;52,241625;21,009398
00-075;Warszawa;mazowieckie;52,241625;21,009398
00-076;Warszawa;mazowieckie;52,241625;21,009398
00-077;Warszawa;mazowieckie;52,241625;21,009398
00-078;Warszawa;mazowieckie;52,241625;21,009398
00-079;Warszawa;mazowieckie;52,241625;21,009398
00-080;Warszawa;mazowieckie;52,241625;21,009398
00-081;Warszawa;mazowieckie;52,241625;21,009398
00-081;Warszawa;mazowieckie;52,241625;21,009398
00-082;Warszawa;mazowieckie;52,241625;21,009398
00-083;Warszawa;mazowieckie;52,241625;21,009398
00-084;Warszawa;mazowieckie;52,241625;21,009398
00-085;Warszawa;mazowieckie;52,241625;21,009398
00-086;Warszawa;mazowieckie;52,241625;21,009398
00-087;Warszawa;mazowieckie;52,241625;21,009398
00-088;Warszawa;mazowieckie;52,241625;21,009398
00-089;Warszawa;mazowieckie;52,241625;21,009398
00-090;Warszawa;mazowieckie;52,241625;21,009398
00-091;Warszawa;mazowieckie;52,241625;21,009398
00-092;Warszawa;mazowieckie;52,241625;21,009398
00-093;Warszawa;mazowieckie;52,241625;21,009398
00-094;Warszawa;mazowieckie;52,241625;21,009398
00-095;Warszawa;mazowieckie;52,241625;21,009398
